eng,spa_m,spa_f,spa_n,output
I am Afghan.,Soy afgano.,Soy afgana.,,Soy afgano.
I am Angolan.,Soy angoleño.,Soy angoleña.,,"Sure, the translation of ""I am Angolan"" into Spanish is ""Soy angoleño."""
I am Albanian.,Soy albanés.,Soy albanésa.,,Soy albanés.
I am Andorran.,Soy andorrano.,Soy andorrana.,,Soy andorrano.
I am Emirati.,,,Soy emiratí.,Soy emiratí.
I am Argentine.,Soy argentino.,Soy argentina.,,"Sure! The translation of ""I am Argentine"" into Spanish is ""Soy argentino"" (if you are male) or ""Soy argentina"" (if you are female)."
I am Armenian.,Soy armenio.,Soy armenia.,,"Sure! The translation of ""I am Armenian"" into Spanish is ""Soy armenio"" (if you are male) or ""Soy armenia"" (if you are female)."
I am Antiguan.,Soy antiguano.,Soy antiguana.,,Soy de Antigua.
I am Australian.,Soy australiano.,Soy australiana.,,"Sure! The translation of ""I am Australian"" into Spanish is ""Soy australiano."" If you are female, you would say ""Soy australiana."""
I am Austrian.,Soy austriaco.,Soy austriaca.,,"Sure! The translation of ""I am Austrian"" into Spanish is ""Soy austriaco"" if you are male, or ""Soy austriaca"" if you are female."
I am Azerbaijani.,Soy azerbaiyano.,Soy azerbaiyana.,,"Certainly! The translation of ""I am Azerbaijani"" into Spanish is ""Soy azerbaiyano."""
I am Burundian.,Soy burundés.,Soy burundésa.,,"Sure! The translation of ""I am Burundian"" into Spanish is ""Soy burundés."""
I am Belgian.,,,Soy belga.,"Sure! The translation of ""I am Belgian"" into Spanish is ""Soy belga."""
I am Beninese.,Soy beninés.,Soy beninésa.,,Soy beninés.
I am Burkinabe.,Soy burkinés.,Soy burkinésa.,,"Sure, the translation of ""I am Burkinabe"" into Spanish is ""Soy burkinés."""
I am Bangladeshi.,,,Soy bangladesí.,"Sure, the translation of ""I am Bangladeshi"" into Spanish is ""Soy bangladesí."""
I am Bulgarian.,Soy búlgaro.,Soy búlgara.,,Soy búlgaro (if you are male) or Soy búlgara (if you are female).
I am Bahraini.,,,Soy bareiní.,Soy bahreiní.
I am Bahamian.,Soy bahameño.,Soy bahameña.,,Soy bahameño.
I am Bosnian.,Soy bosnioherzegovino.,Soy bosnioherzegovina.,,Soy bosnio (if you are male) or Soy bosnia (if you are female).
I am Belarusian.,Soy bielorruso.,Soy bielorrusa.,,Soy bielorruso (if you are male) or Soy bielorrusa (if you are female).
I am Belizean.,Soy beliceño.,Soy beliceña.,,"Sure! The translation of ""I am Belizean"" into Spanish is ""Soy beliceño."""
