eng,fra_m,fra_f,fra_n,output
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,"The translation of ""I am Afghan"" into French is ""Je suis afghan."""
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,"The translation of ""I am Angolan"" into French is ""Je suis angolais"" (if you are male) or ""Je suis angolaise"" (if you are female)."
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,"The translation of ""I am Albanian"" into French is ""Je suis albanais"" (if you are male) or ""Je suis albanaise"" (if you are female)."
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,"The translation of ""I am Andorran"" into French is ""Je suis andorran"" (if you are male) or ""Je suis andorrane"" (if you are female)."
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,"The translation of ""I am Emirati"" into French is ""Je suis Émirien"" (for a male speaker) or ""Je suis Émirienne"" (for a female speaker)."
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,"The translation of ""I am Argentine"" into French is ""Je suis argentin"" (if you are male) or ""Je suis argentine"" (if you are female)."
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,"The translation of ""I am Armenian"" into French is ""Je suis arménien"" (if you are male) or ""Je suis arménienne"" (if you are female)."
I am Antiguan.,Je suis Antiguaise.,Je suis Antiguaise.,,"The translation of ""I am Antiguan"" into French is ""Je suis antiguais"" (if you are male) or ""Je suis antiguaise"" (if you are female)."
I am Australian.,Je suis Australien.,Je suis Australienne.,,"The translation of ""I am Australian"" into French is ""Je suis australien"" (if you are male) or ""Je suis australienne"" (if you are female)."
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,"The translation of ""I am Austrian"" into French is ""Je suis autrichien"" (if you are male) or ""Je suis autrichienne"" (if you are female)."
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,"The translation of ""I am Azerbaijani"" into French is ""Je suis Azerbaïdjanais."""
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,"The translation of ""I am Burundian"" into French is ""Je suis burundais"" (if you are male) or ""Je suis burundaise"" (if you are female)."
I am Belgian.,Je suis Belge.,Je suis Belge.,,"The translation of ""I am Belgian"" into French is ""Je suis belge."""
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,"The translation of ""I am Beninese"" into French is ""Je suis béninois"" (if you are male) or ""Je suis béninoise"" (if you are female)."
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,"The translation of ""I am Burkinabe"" into French is ""Je suis burkinabé."""
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,"The translation of ""I am Bangladeshi"" into French is ""Je suis bangladais"" (if you are male) or ""Je suis bangladaise"" (if you are female)."
I am Bulgarian.,Je suis Bulgare.,Je suis Bulgare.,,"The translation of ""I am Bulgarian"" into French is ""Je suis bulgare."""
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,"The translation of ""I am Bahraini"" into French is ""Je suis bahreïnien"" (for a male speaker) or ""Je suis bahreïnienne"" (for a female speaker)."
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,"The translation of ""I am Bahamian"" into French is ""Je suis bahaméen"" (for a male speaker) or ""Je suis bahaméenne"" (for a female speaker)."
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,"The translation of ""I am Bosnian"" into French is ""Je suis bosnien"" (if you are male) or ""Je suis bosnienne"" (if you are female)."
I am Belarusian.,Je suis Biélorusse.,Je suis Biélorusse.,,"The translation of ""I am Belarusian"" into French is ""Je suis biélorusse."""
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,"The translation of ""I am Belizean"" into French is ""Je suis bélizien"" (if you are male) or ""Je suis bélizienne"" (if you are female)."
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,"The translation of ""I am Bolivian"" into French is ""Je suis bolivien"" (if you are male) or ""Je suis bolivienne"" (if you are female)."
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,"The translation of ""I am Brazilian"" into French is ""Je suis brésilien"" (if you are male) or ""Je suis brésilienne"" (if you are female)."
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,"The translation of ""I am Barbadian"" into French is ""Je suis barbadien"" (for a male speaker) or ""Je suis barbadienne"" (for a female speaker)."
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,"The translation of ""I am Bruneian"" into French is ""Je suis bruneien(ne)."" If you are female, you would say ""bruneienne."""
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,"The translation of ""I am Bhutanese"" into French is ""Je suis bhoutanais"" (if you are male) or ""Je suis bhoutanaise"" (if you are female)."
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,"The translation of ""I am Motswana"" into French is ""Je suis Motswana."""
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,"The translation of ""I am Central African"" into French is ""Je suis centrafricain"" (if you are male) or ""Je suis centrafricaine"" (if you are female)."
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,"The translation of ""I am Canadian"" into French is ""Je suis canadien"" (if you are male) or ""Je suis canadienne"" (if you are female)."
I am Swiss.,Je suis Suisse.,Je suis Suisse.,,"The translation of ""I am Swiss"" into French is ""Je suis suisse."""
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,"The translation of ""I am Chilean"" into French is ""Je suis chilien"" (if you are male) or ""Je suis chilienne"" (if you are female)."
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,"The translation of ""I am Chinese"" into French is ""Je suis chinois"" (if you are male) or ""Je suis chinoise"" (if you are female)."
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,"The translation of ""I am Ivorian"" into French is ""Je suis ivoirien"" (if you are male) or ""Je suis ivoirienne"" (if you are female)."
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,"The translation of ""I am Cameroonian"" into French is ""Je suis camerounais"" (if you are male) or ""Je suis camerounaise"" (if you are female)."
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"The translation of ""I am Congolese"" into French is ""Je suis congolais"" (if you are male) or ""Je suis congolaise"" (if you are female)."
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"The translation of ""I am Congolese"" into French is ""Je suis congolais"" (if you are male) or ""Je suis congolaise"" (if you are female)."
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,,"The translation of ""I am Colombian"" into French is ""Je suis colombien"" (if you are male) or ""Je suis colombienne"" (if you are female)."
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,,"The translation of ""I am Comoran"" into French is ""Je suis comorien."""
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,"The translation of ""I am Cape Verdian"" into French is ""Je suis capverdien"" (for a male speaker) or ""Je suis capverdienne"" (for a female speaker)."
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,"The translation of ""I am Costa Rican"" into French is ""Je suis costaricien"" (if you are male) or ""Je suis costaricienne"" (if you are female)."
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,"The translation of ""I am Cuban"" into French is ""Je suis cubain"" (if you are male) or ""Je suis cubaine"" (if you are female)."
I am Cypriot.,Je suis Chypriote.,Je suis Chypriote.,,"The translation of ""I am Cypriot"" into French is ""Je suis chypriote."""
I am Czech.,Je suis Tchèque.,Je suis Tchèque.,,"The translation of ""I am Czech"" into French is ""Je suis tchèque."""
I am German.,Je suis Allemand.,Je suis Allemande.,,"The translation of ""I am German"" into French is ""Je suis allemand."" (if you are male) or ""Je suis allemande."" (if you are female)."
I am Djibouti.,Je suis Djiboutien.,Je suis Djiboutienne.,,"The translation of ""I am Djibouti"" into French is ""Je suis Djibouti."""
I am Dominican.,Je suis Dominiquais.,Je suis Dominiquaise.,,"The translation of ""I am Dominican"" into French is ""Je suis dominicain"" (if you are male) or ""Je suis dominicaine"" (if you are female)."
I am Danish.,Je suis Danois.,Je suis Danoise.,,"The translation of ""I am Danish"" into French is ""Je suis danois"" (if you are male) or ""Je suis danoise"" (if you are female)."
I am Dominican.,Je suis Dominicain.,Je suis Dominicaine.,,"The translation of ""I am Dominican"" into French is ""Je suis dominicain"" (if you are male) or ""Je suis dominicaine"" (if you are female)."
I am Algerian.,Je suis Algérien.,Je suis Algérienne.,,"The translation of ""I am Algerian"" into French is ""Je suis algérien"" (if you are male) or ""Je suis algérienne"" (if you are female)."
I am Ecuadorean.,Je suis Équatorien.,Je suis Équatorienne.,,"The translation of ""I am Ecuadorean"" into French is ""Je suis équatorien"" (if you are male) or ""Je suis équatorienne"" (if you are female)."
I am Egyptian.,Je suis Égyptien.,Je suis Égyptienne.,,"The translation of ""I am Egyptian"" into French is ""Je suis égyptien"" (if you are male) or ""Je suis égyptienne"" (if you are female)."
I am Eritrean.,Je suis Érythréen.,Je suis Érythréenne.,,"The translation of ""I am Eritrean"" into French is ""Je suis érythréen"" (for a male speaker) or ""Je suis érythréenne"" (for a female speaker)."
I am Spanish.,Je suis Espagnol.,Je suis Espagnole.,,"The translation of ""I am Spanish"" into French is ""Je suis espagnol"" (if you are male) or ""Je suis espagnole"" (if you are female)."
