eng,it_m,it_f,it_n,extracted
I am Afghan.,Sono afghano.,Sono afghana.,,"['Sono afghano.', 'Sono afghana.']"
I am Angolan.,Sono angolano.,Sono angolana.,,"['Sono angolano.', 'Sono angolana.']"
I am Albanian.,,,Sono albanese.,['Sono albanese.']
I am Andorran.,Sono andorrano.,Sono andorrana.,,"['Sono andorrano.', 'Sono andorrana.']"
I am Emirati.,Sono emiratino.,Sono emiratina.,,"['Sono emiratino.', 'Sono emiratina.']"
I am Argentine.,Sono argentino.,Sono argentina.,,"['Sono argentino.', 'Sono argentina.']"
I am Armenian.,Sono armeno.,Sono armena.,,"['Sono armeno.', 'Sono armena.']"
I am Antiguan.,Sono antiguano.,Sono antiguana.,,"['Sono antiguo.', 'Sono antigua.']"
I am Australian.,Sono australiano.,Sono australiana.,,"['Sono australiano.', 'Sono australiana.']"
I am Austrian.,Sono austriaco.,Sono austriaca.,,"['Sono austriaco.', 'Sono austriaca.']"
I am Azerbaijani.,Sono azero.,Sono azera.,,"['Sono azerbaigiano.', 'Sono azerbaigiana.']"
I am Burundian.,,,Sono burundese.,['Sono burundese.']
I am Belgian.,,,Sono belga.,['Sono belga.']
I am Beninese.,,,Sono beninese.,['Sono beninese.']
I am Burkinabe.,,,,['Sono burkinabé.']
I am Bangladeshi.,,,Sono bangladese.,['Sono bangladese.']
I am Bulgarian.,Sono bulgaro.,Sono bulgara.,,"['Sono bulgaro.', 'Sono bulgara.']"
I am Bahraini.,,,Sono bahreinita.,"['Sono bahrenita.', 'Sono bahrenito.']"
I am Bahamian.,,,Sono bahamense.,['Sono bahamese.']
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,,"['Sono bosniaco.', 'Sono bosniaca.']"
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,,"['Sono bielorusso.', 'Sono bielorussa.']"
I am Belizean.,Sono beliziano.,Sono beliziana.,,"['Sono beliziano.', 'Sono beliziana.']"
I am Bolivian.,Sono boliviano.,Sono boliviana.,,"['Sono boliviano.', 'Sono boliviana.']"
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,,"['Sono brasiliano.', 'Sono brasiliana.']"
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,,"['Sono barbadiano.', 'Sono barbadiana.']"
I am Bruneian.,,,,"['Sono del Brunei.', 'Sono bruniano.']"
I am Bhutanese.,,,Sono bhutanese.,['Sono bhutanese.']
I am Motswana.,Sono botswano.,Sono botswana.,,"['Sono del Botswana.', 'Sono Motswana.']"
I am Central African.,Sono centrafricano.,Sono centrafricana.,,"['Sono centrafricano.', 'Sono centrafricana.']"
I am Canadian.,,,Sono canadese.,['Sono canadese.']
I am Swiss.,Sono svizzero.,Sono svizzera.,,"['Sono svizzero.', 'Sono svizzera.']"
I am Chilean.,Sono cileno.,Sono cilena.,,"['Sono cileno.', 'Sono cilena.']"
I am Chinese.,,,Sono cinese.,['Sono cinese.']
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,,"['Sono ivoriano.', 'Sono ivoriana.']"
I am Cameroonian.,,,Sono camerunese.,['Sono camerunense.']
I am Congolese.,,,Sono congolese.,['Sono congolese.']
I am Congolese.,,,Sono congolese.,['Sono congolese.']
I am Colombian.,Sono colombiano.,Sono colombiana.,,"['Sono colombiano.', 'Sono colombiana.']"
I am Comoran.,Sono comoriano.,Sono comoriana.,,"['Sono comoriano.', 'Sono comoriana.']"
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,,"['Sono capoverdiano.', 'Sono capoverdiana.']"
I am Costa Rican.,Sono costaricano.,Sono costaricana.,,"['Sono costaricano.', 'Sono costaricana.']"
I am Cuban.,Sono cubano.,Sono cubana.,,"['Sono cubano.', 'Sono cubana.']"
I am Cypriot.,,,Sono cipriota.,['Sono cipriota.']
I am Czech.,Sono ceco.,Sono ceca.,,"['Sono ceco.', 'Sono ceca.']"
I am German.,Sono tedesco.,Sono tedesca.,,"['Sono tedesco.', 'Sono tedesca.']"
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,,['Sono Gibuti.']
I am Dominican.,Sono dominicano.,Sono dominicana.,,"['Sono dominicano.', 'Sono dominicana.']"
I am Danish.,,,Sono danese.,['Sono danese.']
I am Dominican.,Sono dominicano.,Sono dominicana.,,"['Sono dominicano.', 'Sono dominicana.']"
I am Algerian.,Sono algerino.,Sono algerina.,,"['Sono algerino.', 'Sono algerina.']"
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,,"['Sono ecuadoriano.', 'Sono ecuadoriana.']"
I am Egyptian.,Sono egiziano.,Sono egiziana.,,"['Sono egiziano.', 'Sono egiziana.']"
I am Eritrean.,Sono eritreo.,Sono eritrea.,,"['Sono eritreo.', 'Sono eritrea.']"
I am Spanish.,Sono spagnolo.,Sono spagnola.,,"['Sono spagnolo.', 'Sono spagnola.']"
I am Estonian.,,,Sono estone.,['Sono estone.']
I am Ethiopian.,,,Sono etiope.,['Sono etiope.']
I am Finnish.,,,Sono finlandese.,['Sono finlandese.']
I am Fijian.,Sono figiano.,Sono figiana.,,"['Sono figiano.', 'Sono delle Figi.']"
I am French.,,,Sono francese.,['Sono francese.']
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,,"['Sono micronesiano.', 'Sono micronesiana.']"
I am Gabonese.,,,Sono gabonese.,['Sono gabonese.']
I am British.,Sono britannico.,Sono britannica.,,"['Sono britannico.', 'Sono britannica.']"
I am Georgian.,Sono georgiano.,Sono georgiana.,,"['Sono georgiano.', 'Sono georgiana.']"
