eng,fra_m,fra_f,fra_n,output
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,"Je suis Afghan.
"
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,"Je suis angolais(e).

* **Je suis angolais** is used if you are a male.
* **Je suis angolaise** is used if you are a female.
"
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,"Je suis albanais(e).

* **Je suis albanais** is used if you are a male.
* **Je suis albanaise** is used if you are a female.
"
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,"Je suis Andorran.
"
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,"Je suis émirati(e).

* **Je suis émirati** is used for a male speaker.
* **Je suis émiratie** is used for a female speaker.
"
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,"Je suis argentin(e).
"
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,"Je suis Arménien(ne).

* **Je suis Arménien** is used if you are a male.
* **Je suis Arménienne** is used if you are a female.
"
I am Antiguan.,Je suis Antiguaise.,Je suis Antiguaise.,,"The most straightforward translation is: **Je suis Antiguais.**  (For a male speaker) or **Je suis Antiguaise.** (For a female speaker)
"
I am Australian.,Je suis Australien.,Je suis Australienne.,,"Je suis australien(ne).

* **Je suis australien** is used if the speaker is male.
* **Je suis australienne** is used if the speaker is female.
"
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,"Je suis autrichien(ne).

* **Je suis autrichien** is used if you are a male.
* **Je suis autrichienne** is used if you are a female.
"
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,"Je suis Azerbaïdjanais(e).

* **Je suis Azerbaïdjanais** is used for a male speaker.
* **Je suis Azerbaïdjanaise** is used for a female speaker.
"
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,"Je suis burundais(e).

* **Je suis burundais** is used for a male speaker.
* **Je suis burundaise** is used for a female speaker.
"
I am Belgian.,Je suis Belge.,Je suis Belge.,,"Je suis belge.
"
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,"Je suis béninois(e).

* **Je suis béninois** is used for a male speaker.
* **Je suis béninoise** is used for a female speaker.
"
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,"Je suis Burkinabè.
"
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,"Je suis bangladais(e).

* **Je suis** means ""I am""
* **bangladais** is the masculine form of Bangladeshi
* **bangladaise** is the feminine form of Bangladeshi

You would use ""bangladais"" if you are a male and ""bangladaise"" if you are a female.
"
I am Bulgarian.,Je suis Bulgare.,Je suis Bulgare.,,"Je suis bulgare.
"
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,"Je suis Bahreïni(en).  

Both versions are correct.  ""Bahreïni"" is more common.  Adding ""(en)"" makes it explicitly masculine, but it's often omitted as the context usually makes the gender clear.
"
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,"Je suis bahamiens.  (If male)
Je suis bahamienne. (If female)
"
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,"Je suis Bosnien(ne).

* **Je suis Bosnien** is used for a male speaker.
* **Je suis Bosniaque** is also acceptable and generally preferred, regardless of gender.
* **Je suis Bosniaenne** is used for a female speaker, though less common than *Bosniaque*.
"
I am Belarusian.,Je suis Biélorusse.,Je suis Biélorusse.,,"Je suis biélorusse.
"
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,"The most straightforward translation is: **Je suis bélizien(ne).**

* **Je suis** means ""I am""
* **bélizien** is the masculine form of Belizean
* **bélizienne** is the feminine form of Belizean

You would use ""bélizien"" if you are a male and ""bélizienne"" if you are a female.
"
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,"Je suis Bolivien(ne).

* **Je suis Bolivien** is used if the speaker is male.
* **Je suis Bolivienne** is used if the speaker is female.
"
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,"Je suis brésilien(ne).

* **Je suis brésilien** is used if the speaker is male.
* **Je suis brésilienne** is used if the speaker is female.
"
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,"Je suis Barbadien(ne).

* **Je suis Barbadien** is used for a male speaker.
* **Je suis Barbadienne** is used for a female speaker.
"
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,"The most straightforward translation is: **Je suis Brunéien(ne).**

* **Je suis** means ""I am""
* **Brunéien** is the masculine form of Bruneian.
* **Brunéienne** is the feminine form of Bruneian.  You would use the feminine form if you are a woman.
"
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,"Je suis bhoutanais(e).

* **Je suis** means ""I am""
* **bhoutanais** is the masculine form of Bhutanese.
* **bhoutanaise** is the feminine form of Bhutanese.  You need to use the feminine form if you are a woman.
"
I am Motswana.,Je suis Botswanais.,Je suis Botswanaise.,,"The most straightforward translation is: **Je suis Motswana.**
"
I am Central African.,Je suis Centrafricain.,Je suis Centrafricaine.,,"The most straightforward translation is: **Je suis centrafricain(e).**

* **Je suis** means ""I am""
* **centrafricain** is masculine,  **centrafricaine** is feminine.  You need to use the appropriate form depending on your gender.
"
I am Canadian.,Je suis Canadien.,Je suis Canadienne.,,"Je suis canadien(ne).

* **Je suis canadien** is used by a male speaker.
* **Je suis canadienne** is used by a female speaker.
"
I am Swiss.,Je suis Suisse.,Je suis Suisse.,,"Je suis Suisse.
"
I am Chilean.,Je suis Chilien.,Je suis Chilienne.,,"Je suis chilien(ne).

* **Je suis chilien** is used for a male speaker.
* **Je suis chilienne** is used for a female speaker.
"
I am Chinese.,Je suis Chinois.,Je suis Chinoise.,,"Je suis chinois(e).

* **Je suis chinois** is used by a male speaker.
* **Je suis chinoise** is used by a female speaker.
"
I am Ivorian.,Je suis Ivoirien.,Je suis Ivoirienne.,,"Je suis ivoirien(ne).

* **Je suis ivoirien** is used if you are a man.
* **Je suis ivoirienne** is used if you are a woman.
"
I am Cameroonian.,Je suis Camerounais.,Je suis Camerounaise.,,"Je suis Camerounais(e).

* **Je suis Camerounais** is used for a male speaker.
* **Je suis Camerounaise** is used for a female speaker.
"
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"Je suis Congolais(e).

* **Je suis Congolais** is used if the speaker is a man.
* **Je suis Congolaise** is used if the speaker is a woman.
"
I am Congolese.,Je suis Congolais.,Je suis Congolaise.,,"The most straightforward translation is: **Je suis Congolais(e).**

* **Je suis** means ""I am""
* **Congolais** is the masculine form of Congolese.
* **Congolaise** is the feminine form of Congolese.  You would use Congolaise if you are a woman.
"
I am Colombian.,Je suis Colombien.,Je suis Colombienne.,,"Je suis colombien(ne).

* **Je suis colombien** is used if you are a male.
* **Je suis colombienne** is used if you are a female.
"
I am Comoran.,Je suis Comorien.,Je suis Comorienne.,,"The most straightforward translation is: **Je suis comorien(ne).**

* **Je suis** means ""I am""
* **comorien** is the masculine form of Comoran
* **comorienne** is the feminine form of Comoran

You need to use the masculine or feminine form depending on your gender.
"
I am Cape Verdian.,Je suis Cap-verdien.,Je suis Cap-verdienne.,,"The most straightforward translation is: **Je suis cap-verdien(ne).**

* **Je suis** means ""I am""
* **cap-verdien** is the masculine form of Cape Verdian.
* **cap-verdienne** is the feminine form of Cape Verdian.  You would use the feminine form if you are a woman.
"
I am Costa Rican.,Je suis Costaricain.,Je suis Costaricaine.,,"Je suis costaricain(e).

* **Je suis** means ""I am""
* **costaricain** means ""Costa Rican"" (masculine)
* **costaricaine** means ""Costa Rican"" (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Cuban.,Je suis Cubain.,Je suis Cubaine.,,"Je suis cubain(e).

* **Je suis cubain** is used if you are a male.
* **Je suis cubaine** is used if you are a female.
"
I am Cypriot.,Je suis Chypriote.,Je suis Chypriote.,,"Je suis chypriote.
"
I am Czech.,Je suis Tchèque.,Je suis Tchèque.,,"Je suis tchèque.
"
I am German.,Je suis Allemand.,Je suis Allemande.,,"Je suis allemand(e).
"
