eng,fra_m,fra_f,fra_n,output
I am Afghan.,Je suis Afghan.,Je suis Afghane.,,"In French, ""I am Afghan"" translates to:

""Je suis Afghan"" (if you are male)
or
""Je suis Afghane"" (if you are female)"
I am Angolan.,Je suis Angolais.,Je suis Angolaise.,,"In French, ""I am Angolan"" translates to:

""Je suis Angolais"" (if you are male)
or
""Je suis Angolaise"" (if you are female)"
I am Albanian.,Je suis Albanais.,Je suis Albanaise.,,"In French, ""I am Albanian"" translates to:

""Je suis albanais"" (if you are male)
""Je suis albanaise"" (if you are female)"
I am Andorran.,Je suis Andorran.,Je suis Andorrane.,,"The translation is:

""Je suis Andorran(e)""

Note: Use ""Andorran"" if you\'re male and ""Andorrane"" if you\'re female."
I am Emirati.,Je suis Emirien.,Je suis Emirienne.,,"In French, ""I am Emirati"" translates to:

""Je suis Émirati(e)""

Note: Use ""Émirati"" if you\'re male and ""Émiratie"" if you\'re female."
I am Argentine.,Je suis Argentin.,Je suis Argentine.,,"In French, ""I am Argentine"" can be translated as:

""Je suis Argentin(e)""

Note: The ending changes depending on the gender of the speaker:
- For a male speaker: ""Je suis Argentin""
- For a female speaker: ""Je suis Argentine"""
I am Armenian.,Je suis Arménien.,Je suis Arménienne.,,"In French, ""I am Armenian"" translates to:

""Je suis arménien"" (if you are male)
or
""Je suis arménienne"" (if you are female)"
I am Antiguan.,Je suis Antiguaise.,Je suis Antiguaise.,,"The translation would be:

""Je suis Antiguais(e)""

Note: Use ""Antiguais"" if you\'re male and ""Antiguaise"" if you\'re female."
I am Australian.,Je suis Australien.,Je suis Australienne.,,"In French, ""I am Australian"" translates to:

""Je suis australien"" (if you\'re male)
or
""Je suis australienne"" (if you\'re female)"
I am Austrian.,Je suis Autrichien.,Je suis Autrichienne.,,"In French, ""I am Austrian"" translates to:

""Je suis Autrichien"" (if you are male)
or
""Je suis Autrichienne"" (if you are female)"
I am Azerbaijani.,Je suis Azerbaïdjanais.,Je suis Azerbaïdjanaise.,,"In French, ""I am Azerbaijani"" would be:

""Je suis azerbaïdjanais(e)""

Note: Use ""azerbaïdjanais"" if you\'re male and ""azerbaïdjanaise"" if you\'re female."
I am Burundian.,Je suis Burundais.,Je suis Burundaise.,,"In French, ""I am Burundian"" translates to:

""Je suis Burundais(e)""

Note: Use ""Burundais"" if you\'re male and ""Burundaise"" if you\'re female."
I am Belgian.,Je suis Belge.,Je suis Belge.,,Je suis Belge.
I am Beninese.,Je suis Béninois.,Je suis Béninoise.,,"In French, ""I am Beninese"" is:

""Je suis Béninois(e)""

Note: Use ""Béninois"" if you are male and ""Béninoise"" if you are female."
I am Burkinabe.,Je suis Burkinabé.,Je suis Burkinabée.,,"In French, ""I am Burkinabe"" would be:

""Je suis Burkinabé"" (masculine) or ""Je suis Burkinabée"" (feminine)

Note: Burkinabé is one of the rare demonyms (words for nationalities) in French that doesn\'t change in the masculine form when going from English to French. However, in the feminine form, an extra \'e\' is added."
I am Bangladeshi.,Je suis Bangladais.,Je suis Bangladaise.,,"In French, ""I am Bangladeshi"" translates to:

""Je suis Bangladais(e)""

Note: Use ""Bangladais"" if you\'re male and ""Bangladaise"" if you\'re female."
I am Bulgarian.,Je suis Bulgare.,Je suis Bulgare.,,"In French, ""I am Bulgarian"" translates to:

""Je suis bulgare"""
I am Bahraini.,Je suis Bahreïnien.,Je suis Bahreïnienne.,,"In French, ""I am Bahraini"" would be:

""Je suis Bahreïnien"" (if you are male)
or
""Je suis Bahreïnienne"" (if you are female)"
I am Bahamian.,Je suis Bahamien.,Je suis Bahamienne.,,"In French, ""I am Bahamian"" would be:

""Je suis Bahaméen"" (if you are male)
or
""Je suis Bahaméenne"" (if you are female)"
I am Bosnian.,Je suis Bosnien.,Je suis Bosnienne.,,"In French, ""I am Bosnian"" is:

""Je suis Bosniaque""

Note: In French, nationalities are capitalized when used as nouns but not when used as adjectives. However, since this is being used as a predicate adjective following ""être"" (to be), it is not capitalized."
I am Belarusian.,Je suis Biélorusse.,Je suis Biélorusse.,,Je suis Biélorusse.
I am Belizean.,Je suis Bélizien.,Je suis Bélizienne.,,"In French, ""I am Belizean"" is:

""Je suis Bélizien"" (if you are male)
or
""Je suis Bélizienne"" (if you are female)"
I am Bolivian.,Je suis Bolivien.,Je suis Bolivienne.,,"In French, ""I am Bolivian"" is:

""Je suis bolivien"" (if you\'re male)
""Je suis bolivienne"" (if you\'re female)"
I am Brazilian.,Je suis Brésilien.,Je suis Brésilienne.,,"In French, ""I am Brazilian"" translates to:

""Je suis Brésilien(ne)""

Note: Use ""Brésilien"" if you\'re male and ""Brésilienne"" if you\'re female."
I am Barbadian.,Je suis Barbadien.,Je suis Barbadienne.,,"In French, ""I am Barbadian"" would be:

""Je suis Barbadien(ne)""

Note: Use ""Barbadien"" if you\'re male and ""Barbadienne"" if you\'re female."
I am Bruneian.,Je suis Brunéien.,Je suis Brunéienne.,,"In French, ""I am Bruneian"" would be:

""Je suis Brunéien"" (if you are male)
or
""Je suis Brunéienne"" (if you are female)"
I am Bhutanese.,Je suis Bhoutanais.,Je suis Bhoutanaise.,,"In French, ""I am Bhutanese"" would be:

""Je suis Bhoutanais(e)""

Note: Use ""Bhoutanais"" if you\'re male and ""Bhoutanaise"" if you\'re female."
