eng,it_m,it_f,it_n,extracted,is_m,is_f,is_n
I am Afghan.,Sono afghano.,Sono afghana.,,"['Sono afghano.', 'Sono afghana.']",True,True,False
I am Angolan.,Sono angolano.,Sono angolana.,,"['Sono angolano.', 'Sono angolana.']",True,True,False
I am Albanian.,,,Sono albanese.,['Sono albanese.'],False,False,True
I am Andorran.,Sono andorrano.,Sono andorrana.,,['Io sono andorrano.'],False,False,False
I am Emirati.,Sono emiratino.,Sono emiratina.,,"['Io sono emiratino.', 'Io sono emiratina.']",False,False,False
I am Argentine.,Sono argentino.,Sono argentina.,,"['Sono argentino.', 'Sono argentina.']",True,True,False
I am Armenian.,Sono armeno.,Sono armena.,,"['Sono armeno.', 'Sono armena.']",True,True,False
I am Antiguan.,Sono antiguano.,Sono antiguana.,,['Io sono antiguo.'],False,False,False
I am Australian.,Sono australiano.,Sono australiana.,,"['Sono australiano.', 'Sono australiana.']",True,True,False
I am Austrian.,Sono austriaco.,Sono austriaca.,,"['Sono austriaco.', 'Sono austriaca.']",True,True,False
I am Azerbaijani.,Sono azero.,Sono azera.,,['Sono azero.'],True,False,False
I am Burundian.,,,Sono burundese.,['Sono burundese.'],False,False,True
I am Belgian.,,,Sono belga.,['Sono belga.'],False,False,True
I am Beninese.,,,Sono beninese.,['Io sono beninese.'],False,False,False
I am Burkinabe.,,,,['Io sono burkinabé.'],False,False,False
I am Bangladeshi.,,,Sono bangladese.,['Sono bangladese.'],False,False,True
I am Bulgarian.,Sono bulgaro.,Sono bulgara.,,"['Sono bulgaro.', 'Sono bulgara.']",True,True,False
I am Bahraini.,,,Sono bahreinita.,"['Sono bahrainiano.', 'Sono bahrainiana.']",False,False,False
I am Bahamian.,,,Sono bahamense.,['Sono delle Bahamas.'],False,False,False
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,,"['Sono bosniaco.', 'Sono bosniaca.']",True,True,False
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,,"['Sono bielorusso.', 'Sono bielorussa.']",True,True,False
I am Belizean.,Sono beliziano.,Sono beliziana.,,"['Sono beliziano.', 'Sono beliziana.']",True,True,False
I am Bolivian.,Sono boliviano.,Sono boliviana.,,"['Sono boliviano.', 'Sono boliviana.']",True,True,False
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,,"['Sono brasiliano.', 'Sono brasiliana.']",True,True,False
